	Name	Price	Provider	Review	Rating	Link	Wifi	Breakfast	Parking	Restaurant
143	Hotel Excelsior	NPR 2,646	Expedia	115 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d338245-Reviews-Hotel_Excelsior-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	true
144	Platinum Hotel & Spa	NPR 12,070	Expedia	57 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d7749057-Reviews-Platinum_Hotel_Spa-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
145	Classic Nepal Hotel	NPR 1,710	Hotels.com	28 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d12541486-Reviews-Classic_Nepal_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	false	true
146	Nirvana Garden Hotel	NPR 3,302	Booking.com	218 reviews	3.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d338259-Reviews-Nirvana_Garden_Hotel-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
147	Kathmandu Friendly Home	NPR 908	Booking.com	143 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1902627-Reviews-Kathmandu_Friendly_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
148	Kathmandu Cityhill Studio Apartment	NPR 2,913	Expedia	32 reviews	5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d9991640-Reviews-Kathmandu_Cityhill_Studio_Apartment-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Re.html	true	false	true	false
149	Acme Guest House	NPR 1,244	Expedia	182 reviews	4 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1196919-Reviews-Acme_Guest_House-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
150	Rama Inn Boutique Home	NPR 5,986	Booking.com	78 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d5452885-Reviews-Rama_Inn_Boutique_Home-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	true	false	false
151	Hotel Melungtse	NPR 2,646	Expedia	68 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d1793045-Reviews-Hotel_Melungtse-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
152	Hotel Himalaya Yoga	NPR 1,497	Booking.com	90 reviews	4.5 of 5 bubbles	https://www.tripadvisor.com/Hotel_Review-g293890-d3748125-Reviews-Hotel_Himalaya_Yoga-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Central_Region.html	true	false	true	false
