	Name	Price	Provider	Review	Rating	Wifi	Breakfast	Parking	Restaurant
54	Royal Penguin Boutique Hotel & Spa	NPR 5,266	Expedia	240 reviews	4.5 of 5 bubbles	true	true	false	false
55	Hotel Happy Home	NPR 1,716	Booking.com	536 reviews	4.5 of 5 bubbles	true	true	false	false
56	Hotel Buddha	NPR 2,741	Booking.com	402 reviews	4.5 of 5 bubbles	true	false	true	false
57	DOM Himalaya Hotel		Booking.com	180 reviews	5 of 5 bubbles	true	false	true	false
58	Shree Tibet Family Guest House		Booking.com	451 reviews	4.5 of 5 bubbles	true	false	false	false
59	Kathmandu Suite Home		Agoda.com	85 reviews	5 of 5 bubbles	true	true	false	false
60	Kasthamandap Boutique Hotel		Booking.com	193 reviews	5 of 5 bubbles	true	true	false	false
61	Hotel Amaryllis		Booking.com	394 reviews	5 of 5 bubbles	true	false	true	false
62	Traditional Comfort	NPR 10,356	Expedia	162 reviews	5 of 5 bubbles	true	true	false	false
63	Hotel Silver Home	NPR 1,055	Expedia	731 reviews	4.5 of 5 bubbles	true	true	false	false
64	Hotel Shambala	NPR 8,418	Expedia	494 reviews	4.5 of 5 bubbles	true	false	true	false
65	Kathmandu Guest House	NPR 4,976	Expedia	1,388 reviews	4 of 5 bubbles	true	true	false	false
66	Kantipur Temple House	NPR 5,988	Expedia	888 reviews	4.5 of 5 bubbles	true	false	false	true
67	Hotel Friends Home	NPR 2,369	Booking.com	1,402 reviews	5 of 5 bubbles	true	true	false	false
68	Hotel Shanker	NPR 5,988	Expedia	1,307 reviews	4 of 5 bubbles	true	false	true	false
69	Hyatt Regency Kathmandu	NPR 13,636	Booking.com	1,780 reviews	4.5 of 5 bubbles	false	false	true	false
70	Trekkers' Home	NPR 711	Booking.com	761 reviews	4.5 of 5 bubbles	true	false	false	true
71	Dwarika's Hotel	NPR 26,180	Booking.com	1,195 reviews	4.5 of 5 bubbles	false	false	false	true
72	Shambaling Boutique Hotel	NPR 4,037	Expedia	523 reviews	5 of 5 bubbles	true	false	true	false
73	Festoon Hotel	NPR 1,158	Booking.com	212 reviews	4.5 of 5 bubbles	true	true	false	false
74	Hotel Buddha Land	NPR 1,975	Booking.com	279 reviews	4.5 of 5 bubbles	true	false	false	false
75	Gokarna Forest Resort	NPR 13,126	Expedia	971 reviews	4.5 of 5 bubbles	false	true	true	false
76	Hotel Horizon	NPR 1,286	Booking.com	188 reviews	4.5 of 5 bubbles	true	false	true	false
77	Aria Boutique Hotel & Spa	NPR 4,992	Expedia	324 reviews	4.5 of 5 bubbles	true	true	false	false
78	Kathmandu Grand Hotel	NPR 3,264	Booking.com	889 reviews	4.5 of 5 bubbles	true	true	false	false
79	OYO 11477 Backyard Hotel	NPR 1,842	Booking.com	638 reviews	4.5 of 5 bubbles	true	true	false	false
80	Hotel Encounter Nepal	NPR 2,433	Booking.com	1,069 reviews	4.5 of 5 bubbles	true	false	true	false
